기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1100012500,서울특별시 노원구,205673.4937,457465.4498,101,염상국치과의원,0.424729206,0.57107048,0.560021374,0.754298036,66232,C,1.245701964,200,0.5,0.1,0,0,836.1,138.4,64.2,46.8,94.6,36.8,10.6,27,34.6,4.3,2
2018,1100024400,서울특별시 노원구,205687.8531,459326.9094,101,하계극동아파트,0.424729206,0.57107048,0.560021374,2.744280514,75814,D,3.255719486,278,186.5,11.3,1.1,0,3637.9,432,204.2,68.2,15.5,23.7,4.3,118.8,182.4,87.8,6
2018,1100029100,서울특별시 노원구,205693.3453,460120.1155,101,중계2동사무소앞,0.424729206,0.57107048,0.560021374,1.114346003,70182,D,0.885653997,275,1.8,0,0,0,338.3,42,31.5,9.7,46.2,29.6,4.2,16.3,43.2,9.6,2
2018,1050005600,서울특별시 동대문구,205704.8746,455001.6198,101,외대앞역앞교차로,0.424729206,0.57107048,0.560021374,5.536870408,78076,D,1.463129592,172,9.8,0.8,0.2,0,1040.1,108.2,45.2,37.6,125.7,47.8,71.3,57.3,39.1,31.3,7
2018,1100011300,서울특별시 노원구,205710.4416,457304.7116,101,석계역환승주차장,0.424729206,0.57107048,0.560021374,3.043220724,76285,D,0.956779276,265,15.7,8.7,2.8,0,502.3,71.9,9,20.6,26.6,13.8,31.6,5.9,6.7,366.2,4
2018,1100030200,서울특별시 노원구,205720.3859,460439.8946,101,중계경남아파트,0.424729206,0.57107048,0.560021374,-2.678259068,1031,B,3.678259068,162,290.3,45.6,4.5,0,3808.9,429.8,202.3,38.4,55.4,66,22.2,458.6,312.5,19.9,1
2018,1100042100,서울특별시 노원구,205732.5732,462146.0597,101,상계초등학교,0.424729206,0.57107048,0.560021374,1.485322345,71912,C,2.514677655,235,63.2,3.3,0.3,0,1942.8,288.9,139.5,30.6,88.8,68.8,13.1,107.8,229.6,10.4,4
2018,1050006500,서울특별시 동대문구,205748.0168,451414.4115,101,장한평역_장한로_진출_1,0.424729206,0.57107048,0.560021374,3.782722663,77115,D,1.217277337,178,13.8,2.6,0.8,0,832,137.5,39.3,144.8,55.6,43.9,9.8,75.5,25.9,147,5
2018,1050009800,서울특별시 동대문구,205751.1496,452363.2925,101,동탑초등학교,0.424729206,0.57107048,0.560021374,4.010924581,77303,D,1.989075419,199,135.3,10.7,0.2,0,1157.3,152,102.8,544,10,32.1,20.1,65.4,50.5,30.3,6
2018,1050006400,서울특별시 동대문구,205756.986,451407.0402,101,장한평역_장한로_진입_1,0.424729206,0.57107048,0.560021374,0.322202613,60912,C,1.677797387,145,3.3,0.8,0.8,0,1797.3,203.5,63.3,159.8,52.2,45.1,31.2,132.5,36.8,196.4,2
